Arsenal,Leicester
Arsenal,Liverpool
Arsenal,Norwich
Arsenal,Watford
Aston Villa,Arsenal
Aston Villa,Chelsea
Aston Villa,Crystal Palace
Aston Villa,Man United
Aston Villa,Sheffield United
Aston Villa,Wolves
Bournemouth,Crystal Palace
Bournemouth,Leicester
Bournemouth,Newcastle
Bournemouth,Southampton
Bournemouth,Tottenham
Brighton,Arsenal
Brighton,Liverpool
Brighton,Man City
Brighton,Man United
Brighton,Newcastle
Burnley,Brighton
Burnley,Sheffield United
Burnley,Watford
Burnley,Wolves
Chelsea,Man City
Chelsea,Norwich
Chelsea,Watford
Chelsea,Wolves
Crystal Palace,Burnley
Crystal Palace,Chelsea
Crystal Palace,Man United
Crystal Palace,Tottenham
Everton,Aston Villa
Everton,Bournemouth
Everton,Leicester
Everton,Liverpool
Everton,Southampton
Leicester,Brighton
Leicester,Crystal Palace
Leicester,Man United
Leicester,Sheffield United
Liverpool,Aston Villa
Liverpool,Burnley
Liverpool,Chelsea
Liverpool,Crystal Palace
Man City,Arsenal
Man City,Bournemouth
Man City,Burnley
Man City,Liverpool
Man City,Newcastle
Man City,Norwich
Man United,Bournemouth
Man United,Sheffield United
Man United,Southampton
Man United,West Ham
Newcastle,Aston Villa
Newcastle,Liverpool
Newcastle,Sheffield United
Newcastle,Tottenham
Newcastle,West Ham
Norwich,Brighton
Norwich,Burnley
Norwich,Everton
Norwich,Southampton
Norwich,West Ham
Sheffield United,Chelsea
Sheffield United,Everton
Sheffield United,Tottenham
Sheffield United,Wolves
Southampton,Arsenal
Southampton,Brighton
Southampton,Man City
Southampton,Sheffield United
Tottenham,Arsenal
Tottenham,Everton
Tottenham,Leicester
Tottenham,Man United
Tottenham,West Ham
Watford,Leicester
Watford,Man City
Watford,Newcastle
Watford,Norwich
Watford,Southampton
West Ham,Aston Villa
West Ham,Burnley
West Ham,Chelsea
West Ham,Watford
West Ham,Wolves
Wolves,Arsenal
Wolves,Bournemouth
Wolves,Crystal Palace
Wolves,Everton
